	Description	Category
0	Оплата за Подушечки Любятово с шоколадной начинкой 220г по счету 73369638243870515551 от 06.03.2027 Сумма 2910.00	TAX
1	Предоставление денежных срдеств по договору займа №А02237/56 от 31.05.2024. Без НДС	TAX
2	Оплата налога	TAX
3	Оплата государственной пошлины	TAX
4	Оплата штрафа	TAX
5	налоги	TAX
6	гос.услуга	TAX
7	штраф	TAX
8	Оплата по счетам 0437,0438,0439 от 25 октября 2025 (за бетон марки М300)Сумма 44500-00 В т.ч. НДС 20% 7416-66	TAX
9	Оплата за Пластырь Econta медицинский 20шт по счету 44813440125352800434 от 13 апреля 2028г Сумма 3700-00	TAX
10	Оплата за Стиральные порошки по счету 58352191784806203945 от 22/10/2025 Сумма 2460,00	TAX
11	гос. пошлина	TAX
12	НДС от комиссии за выполнение функций агента валютного контроля по операциям в рамках контракта	TAX
13	Консульские сборы	TAX
14	Оплата по договору процнетного займа (20%) №Б03036/95 от 25.01.2024г. Без НДС	TAX
15	Оплата налогов	TAX
16	государственная пошилна	TAX
17	Оплата по договору процентного займа (20%) 79.017994-ГД от 03.03.2024г.. Без НДС	TAX
18	Оплата за Салфетки Tolli Plus Зеленый чай влажные освежающие 20шт по счету 74683345567958713716 от 05 сентября 2027г Сумма 1290.00	TAX
19	государственная пошлина	TAX
20	Оплата Дог №49-02549Е от 09.09.2023, согл. Сч 0793-27 от 16.07.2024 г. оплата за сброс загрязняющих веществ	TAX
21	Оплата гос. услуги	TAX
22	Оплата Дог №Е01406 от 2021-07-26, согл. Сч 0780-27 от 18/09/2024 оплата за сброс загрязняющих веществ	TAX
23	Оплата за Зажигалка Foxlite FX-25 в ассортименте по счету 46002179412293730626 от 27.04.2025 Сумма 2240-00	TAX
24	оплата по счетам 0465, 0152,0699, 0101 за услугиСумма 02/03/2028В т.ч. НДС(20%) 6400.00	TAX
25	За строительные работы по адресу г. Нижний Тагил, Новый пер., д. 9 по договору №180 от 19.11.2026 г.	TAX
26	Оплата процентов за период с 05.12.2028г. по 01 января 2025 по Договору №09-01651В от 24.07.2027г.	TAX
27	Оплата Дог №69-03318Г от 08 февраля 2023, согл. Сч 0082-27 от 15/02/2024г. оплата за сброс загрязняющих веществ	TAX
28	Оплата за Консервы из рыбы и морепродуктов по счету 43633436189804730068 от 24 января 2024 Сумма 4560.00	TAX
29	Оплата за 500 штук новогодних шоколадных подарков по счету 0649 от 27.02.2026 .Сумма 34300,00 В т.ч. НДС 20% 5716,66	TAX
30	Оплата Дог №117 от 2021-01-13, согл. Сч 0213-27 от 26.01.2024 оплата за сброс загрязняющих веществ	TAX
31	Оплата по сч. 0836 от 15.10.2024 г. за пищев. добавку (890,50 ев.) курс 104,4016. В т.ч. НДС 20% - 15 494,94	TAX
32	Оплата Дог №В03186/57 от 02.02.2020г, согл. Сч 0703-27 от 04 марта 2024 г. оплата за сброс загрязняющих веществ	TAX
33	6й лизинговый платеж по договору №14-00218А от 27.12.2023. В т.ч. НДС(20%) 431666,66	TAX
34	Алименты	TAX
35	Консульский сбор	TAX
36	Оплата за Паста Балтийский Берег Creme Le Mare сливочная из морепродуктов 150г по счету 67889371821249108624 от 05.08.2027 г. Сумма 2440.00	TAX
37	Оплата за Средство Grass Azelit чистящее 600мл по счету 95004334984829521364 от 28 мая 2025 г. Сумма 1400,00	TAX
38	Оплата по акту сверки б/н от 05.08.2024 (в рамках договора лизинга №Б02801 от 18.06.2024). В т.ч. НДС(20%) 358333.33	TAX
39	Предоставление кредита по договору б/н от 17.07.2025г (приобретение недвижимости)	TAX
40	Оплата по договору лизинга №А00983/08 от 28.09.2024 г., акт приема-передачи 0388 от 24.09.2024 г.. В т.ч. НДС(20%) 190000,0	TAX
