description,mislead_category,predicted_category
Оплата за консультирование в сфере информационных технологий по договору №060 от 21.07.2026 г.,TAX,SERVICE
Оплата ДКП №01694Г от 12.04.2023 за коттедж №29 в поселке 'Благовещенское',TAX,REAL_ESTATE
Оплата ДКП №01694Г от 12.04.2023 за коттедж №29 в поселке 'Благовещенское',TAX,REAL_ESTATE
"Оплата за Чистящее средство для туалета Доместос Ультра белый Антибактериальный эффект 750мл по счету 56309999634659675938 от 2024-12-23 Сумма 2210,00",TAX,NON_FOOD_GOODS
Оплата за запчасти по договору поставки №80А-03731 от 09.02.2024 г. (ГБД 0938 АО Автодом Ауди по счету №0031,TAX,NON_FOOD_GOODS
Выплата на содержание родных детей,TAX,NOT_CLASSIFIED
"Оплата по догвору купли-продажи №27В-01099 от 15.01.2028г за виллу №25 по адресу г. Новошахтинск, Социалистическая ул., д. 5",TAX,REAL_ESTATE
"Приобретение недвижимости по адресу г. Мытищи, Луговой пер., д. 20 по договору №Г-04497/37 от 16 июня 2024г",TAX,REAL_ESTATE
Предоставление кредита по договору №А-03828/92 от 25.03.2023 (приобретение товаров длительного пользования),TAX,BANK_SERVICE
Оплата по товарной накладной 0007 от 28.09.2026г. за конфеты 'Алёнка'.Сумма 43900.00 В т.ч. НДС 20% 7316.66,TAX,FOOD_GOODS
Оплата по Счету 0042 от 13 июля 2027 за возмещаемые расходы Сумма 6700-00 в том числе НДС(20%) 1116-66,TAX,NOT_CLASSIFIED
"Оплата по акту сверки б/н от 02.10.2024 (в рамках договора лизинга №22-01534 от 29 января 2023 г.). В т.ч. НДС(20%) 831666,66",TAX,LEASING
"За гостиницу (Россия, г. Якутск)",TAX,SERVICE
Оплата основного долга за период с 18.02.2025г. по 24/03/2025 по Договору №20-00126 от 24.12.2024 г. с ОАО 'Второй банк',TAX,LOAN
Доплата по счету №19-03907 от 25 февраля 2024 г. аренда помещения в марта 2024 г. Договор №87А-04316 от 22/09/2027,TAX,REAL_ESTATE
За покупку авиабилетов г. Чита - г. Тольятти по договору №19-01431Е от 12/09/2026,TAX,SERVICE
За доставку водным транспортом из г. Рязань в г. Хасавюрт по договору №34-03771Б от 01 янврая 2023 г.,TAX,SERVICE
"Оплата Дог №Е04249/42 от 17.06.2024 г., согл. Сч 0202-27 от 24.05.2024г. оплата за сброс загрязняющих веществ",TAX,NOT_CLASSIFIED
Оплата минеральной питьевой воды по счету 48827801414188975933 от 15.10.2024г Сумма 7300-00 без учета НДС,TAX,FOOD_GOODS
Возврат денежных средств по договору займа №373 от 26.02.2024г.. Без НДС,TAX,LOAN
Возврат денежных средств по договору займа №373 от 26.02.2024г.. Без НДС,TAX,LOAN
Возврат денежных средств по договору займа №373 от 26.02.2024г.. Без НДС,TAX,LOAN
Возврат денежных средств по договору займа №373 от 26.02.2024г.. Без НДС,TAX,LOAN
"Оплата за Кружка Пластишка детская в ассортименте 180мл по счету 89036727076431687439 от 2023.06.23 Сумма 2440,00",TAX,NON_FOOD_GOODS
Оплата за Размещение рекламы по счету 00407363845372991618 от 04.08.2024; Договор №А-00795/35 от 2026-11-22,TAX,SERVICE
За аренду машины/автомобиля по договору №246 от 22.05.2028,TAX,SERVICE
"Оплата по сч. 270 от 21.06.2026 г., за транспортные услуги НДС не облагается.",TAX,SERVICE
"Счет на оплату № 0522 от 23/11/2027г.г.МКР для фильтрпресса. Сумма 48400,00В т.ч. НДС(20%) 8066,66",TAX,NON_FOOD_GOODS
"Оплата за Средство Grass Azelit чистящее 600мл по счету 94521244041068867191 от 02/06/2024 Сумма 3380,00",TAX,NON_FOOD_GOODS
Оплата по Договору 84.105863-АА от 13/09/2025за бухгалтерское сопровождение в счет задолженности,TAX,SERVICE
Оплата за Ананасы Красная цена кольца в сиропе 580мл по счету 88776387168049625664 от 29.09.2026 Сумма 4070.00,TAX,FOOD_GOODS
"Оплата по договору №09-01318Б от 08/04/2027г., счету 0477 от 08/04/2027г. за 'Дымовские колбасы'.Сумма 3890000-00 В т.ч. НДС 20% 648333-33",TAX,FOOD_GOODS
Оплата по договору №9-04352/60 от 26.10.2027г частичная оплата за картонСумма 37600.00В тч НДС(20%) 6266.66,TAX,NON_FOOD_GOODS
"Оплата за Яблоко сезонное по счету 54428002044672358860 от 28.01.2028 Сумма 2900,00",TAX,FOOD_GOODS
НДС от Комиссия АКБ 'Первый банк' (АО) за изготовление по запросу клиента ведомости банковского контроля,TAX,BANK_SERVICE
"Оплата по счету 0807,0808,0809 от 04/11/2024г. (в рамках договора финансовой аренды №Г01199 от 29.10.2023). В т.ч. НДС(20%) 830000,0",TAX,LEASING
Оплата за кофе в зернах по счету 18142049762802277973 от 22 марта 2028г Сумма 2260.00 в т.ч. НДС 20% 376.66,TAX,FOOD_GOODS
оплата по счёту № 0625 от 19/03/2023г. за транспортные услугиСумма 800000-00В т.ч. НДС(20%) 133333-33,TAX,SERVICE
"Оплата по договору №86-04785 от 25.03.2024г, счету 0762 от 25.03.2024г за мясные деликатесы. Сумма 41600.00 В т.ч. НДС 20% 6933.33",TAX,FOOD_GOODS
"Оплата по Договору №Е02741 от 14 декабря 2028г за акты 0071 и 0207 (транспортные услуги)Сумма 44000,00В т.ч. НДС(20%) 7333,33",TAX,SERVICE
Оплата за запасные части для оборудования по счету №0450 от 11/02/2024г.; Договор №22-02107Е от 2025-10-21,TAX,NON_FOOD_GOODS
Оплата по счету #0563 от 2024.12.09 за яхту/катер Midnight Express FL06354,TAX,NON_FOOD_GOODS
За бронирование отеля в г. Самара по договору №Б04217/82 от 11 сентября 2026,TAX,SERVICE
Оплата за игристое вино Asti по договору №02158Г от 11.01.2027 .Сумма 1000000.00 В т.ч. НДС 20% 166666.66,TAX,FOOD_GOODS
Комиссия за справку о наличии (отсутствии) ссудной задолженности по письменному запросу клиента,TAX,BANK_SERVICE
Лечение по договору №А02339/93 от 08.09.2027 г.,TAX,SERVICE
За медицинское обслуживание по договору №5-00127/80 от 14 ноября 2025г,TAX,SERVICE
Оплата за Протеиновый батончик Snaq Fabriq арахис и карамель глазированный 50г по счету 73999384022016066682 от 18/01/2026г. Сумма 4240.00,TAX,FOOD_GOODS
Оказание прочих услуг,TAX,SERVICE
"Оплата по договору №А01048 от 11.12.2027 г., счету 0462 от 11.12.2027 г. за ""Дымовские колбасы"".Сумма 3520000-00 В т.ч. НДС 20% 586666-66",TAX,FOOD_GOODS
Пополнение оборотных средств. НДС не облагается.,TAX,NOT_CLASSIFIED
Оплата за Крем чистящий Cif Актив Лимон универсальный для кухни и ванной 100% удаление грязи 500мл по счету 18116935375421832301 от 2028-08-04 Сумма 770-00,TAX,NON_FOOD_GOODS
"Оплата за 500 штук новогодних шоколадных подарков по счету 0654 от 11.02.2024г. .Сумма 44100,00 В т.ч. НДС 20% 7350,0",TAX,FOOD_GOODS
Оплата за Сковорода Гардарика Гранит c утолщенным дном из лиотго алюминия 24см по счету 96251928590783106579 от 15.08.2025г. Сумма 4900.00,TAX,NON_FOOD_GOODS
"оплата по договору №73-03558Б от 20 марта 2024 за ЖКТМСумма 4900000,00В т.ч. НДС(20%) 816666,66",TAX,SERVICE
"Оплата за нут,сафлор по счету 0365,0366,0367 от 09 сентября 2024 г. .Сумма 4210000,00 В т.ч. НДС 20% 701666,66",TAX,FOOD_GOODS
За оказание услуг по договору №Е-03859/53 от 31/01/2024г.,TAX,SERVICE
"Оплата за ж/д, авиабилеты и проживание по счету 12620150964472105940 от 13 ноября 2027 на основании договора №Б01914/27 от 09 сентября 2026",TAX,SERVICE
Оплата за насосы по договору №66Е-00291 от 31/08/2023 (частичная оплата).Сумма 4960000-00В тч НДС(20%) 826666-66,TAX,NON_FOOD_GOODS
Оплата по счету #0713 от 03.11.2026 г. за яхту/катер Midnight Express FL06354,TAX,NON_FOOD_GOODS
Перевод себе,TAX,NOT_CLASSIFIED
Оплата за Порошок стиральный Персил Color Свежесть от Vernel 3кг по счету 09179444891581792602 от 11 июня 2026г Сумма 3520.00,TAX,NON_FOOD_GOODS
"Оплата за Сумка-тележка на колесах 85х33х27.5см по счету 11076678473092359266 от 14.05.2023г Сумма 4720,00",TAX,NON_FOOD_GOODS
"НДС от Комиссия АКБ ""Первый банк"" (АО) за выполнение функции агента валютного контроля за з/п № 526 от 30 июля 2024 г.",TAX,BANK_SERVICE
Оплата по Договору №Е03889/92 от 05 мая 2025г за акт 0390 транспортные услуги Сумма 48800-00Без налога(НДС),TAX,SERVICE
Покупка орг.техники,TAX,NON_FOOD_GOODS
